"iteration","revenue","time taken (milliseconds)"
"1","4161.73","141.0"
"2","4210.87","124.0"
"3","4250.39","113.0"
"4","4097.82","102.0"
"5","4263.21","99.0"
"6","4093.74","84.0"
"7","4154.69","88.0"
"8","4144.25","90.0"
"9","4362.56","97.0"
"10","4201.87","83.0"
"11","4208.37","83.0"
"12","4196.81","80.0"
"13","4149.34","81.0"
"14","4173.93","80.0"
"15","4228.74","81.0"
"16","4253.05","80.0"
"17","4197.68","81.0"
"18","4249.69","83.0"
"19","4174.42","81.0"
"20","4254.48","81.0"
"21","4253.25","82.0"
"22","4251.99","83.0"
"23","4116.12","80.0"
"24","4264.29","80.0"
"25","4212.97","82.0"
"26","4176.62","80.0"
"27","4182.41","80.0"
"28","4236.76","81.0"
"29","4240.55","82.0"
"30","4154.15","79.0"
"31","4097.2","85.0"
"32","4228.51","81.0"
"33","4215.71","81.0"
"34","4202.54","82.0"
"35","4199.65","78.0"
"36","4220.37","79.0"
"37","4089.32","80.0"
"38","4231.3","79.0"
"39","4220.62","81.0"
"40","4208.41","74.0"
"41","4292.76","83.0"
"42","3922.74","77.0"
"43","4236.72","78.0"
"44","4208.96","79.0"
"45","4208.55","81.0"
"46","4142.1","80.0"
"47","4304.2","81.0"
"48","4039.52","80.0"
"49","4236.16","79.0"
"50","4232.71","80.0"
"51","4211.08","81.0"
"52","4182.78","79.0"
"53","4166.68","80.0"
"54","4238.5","80.0"
"55","4290.36","79.0"
"56","3998.83","78.0"
"57","4227.09","78.0"
"58","4154.1","80.0"
"59","4196.16","79.0"
"60","4164.5","80.0"
"61","4202.31","83.0"
"62","4251.41","82.0"
"63","4130.46","80.0"
"64","4148.62","80.0"
"65","4222.04","80.0"
"66","4095.09","83.0"
"67","4248.99","79.0"
"68","4249.76","81.0"
"69","4260.8","78.0"
"70","4126.78","79.0"
"71","4206.55","77.0"
"72","4274.12","78.0"
"73","4046.11","79.0"
"74","4188.15","78.0"
"75","4205.76","80.0"
"76","4128.11","79.0"
"77","4258.6","78.0"
"78","4082.65","75.0"
"79","4135.03","84.0"
"80","4178.35","79.0"
"81","4114.31","80.0"
"82","4146.27","80.0"
"83","4213.28","79.0"
"84","4078.39","79.0"
"85","4247.6","80.0"
"86","4187.25","77.0"
"87","4319.6","80.0"
"88","4182.13","79.0"
"89","4295.66","82.0"
"90","4180.98","83.0"
"91","3946.4","78.0"
"92","4176.62","79.0"
"93","4266.87","80.0"
"94","4158.05","78.0"
"95","4210.03","79.0"
"96","4226.3","83.0"
"97","4262.8","79.0"
"98","4087.91","80.0"
"99","4233.23","83.0"
"100","4243.89","83.0"
